record_no,Name,Type,PostalCode,Address,location
241,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",38983,"3 TEMASEK BOULEVARD, SUNTEC CITY MALL, #01-634","{'lat': 1.2948790412, 'lng': 103.8576754979}"
242,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",469002,"750B CHAI CHEE ROAD #01-01 TO 06, TO 12, #02-02 TO 06 BUSINESS PARK, #01-09","{'lat': 1.3231592919000001, 'lng': 103.9209799824}"
243,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",79903,"10 ANSON ROAD, INTERNATIONAL PLAZA, #36-05","{'lat': 1.2757356808, 'lng': 103.8457032204}"
244,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",138683,"10 DOVER DRIVE, SIT @ DOVER","{'lat': 1.301008728, 'lng': 103.7801252536}"
245,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",188504,"1 ROCHOR CANAL RD, SIM LIM SQUARE","{'lat': 1.3030229826, 'lng': 103.8528756248}"
246,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",229233,"2 HANDY RD, THE CATHAY","{'lat': 1.29918373, 'lng': 103.8477897892}"
247,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['ICT equipment', 'Batteries', 'Lamps']",567720,2 ANG MO KIO DRIVE,"{'lat': 1.3778920317, 'lng': 103.8564119866}"
248,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",278628,"293 HOLLAND ROAD, JELITA SHOPPING CENTRE, #01-01","{'lat': 1.3175619665, 'lng': 103.7858406238}"
249,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",307591,"101 THOMSON ROAD, UNITED SQUARE, #B1-29","{'lat': 1.3173346299, 'lng': 103.843463186}"
250,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",188021,"230 VICTORIA STREET, BUGIS JUNCTION, #B1-17","{'lat': 1.299112871, 'lng': 103.8554111826}"
251,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",268802,"1 FIFTH AVENUE, GUTHRIE HOUSE, #01-05","{'lat': 1.3308174009, 'lng': 103.7956923555}"
252,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",179103,"1 STAMFORD ROAD, RAFFLES CITY SHOPPING CENTRE, #B1-01","{'lat': 1.2937602788, 'lng': 103.8527683324}"
253,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",259760,"501 BUKIT TIMAH ROAD, CLUNY COURT, #01-02","{'lat': 1.3225731696, 'lng': 103.8142455507}"
254,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",127371,"154 WEST COAST ROAD, WEST COAST PLAZA, #B1-19","{'lat': 1.3035826815, 'lng': 103.7652845202}"
255,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",237994,"1 KIM SENG PROMENADE, GREAT WORLD CITY, #B1-18","{'lat': 1.2938023464000001, 'lng': 103.83175792}"
256,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",138617,"1 VISTA EXCHANGE GREEN, THE STAR VISTA, #B1-02","{'lat': 1.3068488176, 'lng': 103.7882145313}"
257,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",667979,"4 HILLVIEW RISE, HILLVIEW MARKET PLACE, #02-07","{'lat': 1.3626745062, 'lng': 103.7641729231}"
258,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",339511,"12  KALLANG AVE, APERIA, #01-47","{'lat': 1.3097424129, 'lng': 103.8641016487}"
259,NEA Producer Responsibility Scheme - ALBA E-waste Recycling Programme,"['Batteries', 'Lamps']",545078,"1 SENGKANG SQUARE, COMPASS ONE, #B1-25","{'lat': 1.3920941502, 'lng': 103.8949800326}"
